Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6n3HGiq4v35D6eFOSwqYuo,"Teenage Fever","More Life","Drake",2017-03-18,219692,81,true,,2023-10-13T07:43:19Z,"rap","Cash Money Records/Young Money Ent./Universal Rec.",0.766,0.283,8,-10.33,0,0.0846,0.111,0.0172,0.115,0.144,97.04,4
spotify:track:3oZZfVvLJuDYc4Vn3A63Fw,"Polar Opposites","For All The Dogs","Drake",2023-10-06,257180,65,true,,2023-10-12T17:35:01Z,"rap","OVO/Republic",0.44,0.274,5,-14.464,0,0.0809,0.0924,0.00000337,0.128,0.343,76.513,4
spotify:track:65OVbaJR5O1RmwOQx0875b,"Wants and Needs (feat. Lil Baby)","Scary Hours 2","Drake;Lil Baby",2021-03-05,192956,77,true,,2023-10-12T17:29:08Z,"rap","OVO",0.578,0.449,1,-6.349,1,0.286,0.0618,0.00000217,0.119,0.1,136.006,4
spotify:track:4rmVZajAF7PkrCagGPHbqa,"Sticky","Honestly, Nevermind","Drake",2022-06-17,243227,70,true,,2023-10-12T16:55:20Z,"rap","OVO",0.853,0.495,6,-14.63,1,0.14,0.0917,0.000217,0.0844,0.0774,137.027,4
spotify:track:6DCZcSspjsKoFjzjrWoCdn,"God's Plan","Scorpion","Drake",2018-06-29,198973,85,true,,2023-10-12T16:48:42Z,"rap","Cash Money/Drake LP6",0.754,0.449,7,-9.211,1,0.109,0.0332,0.0000829,0.552,0.357,77.169,4
spotify:track:0w3Mfe4PIVjuFjJbe3OlYv,"8am in Charlotte","For All The Dogs","Drake",2023-10-06,266847,68,true,,2023-10-12T16:37:52Z,"rap","OVO/Republic",0.567,0.682,4,-6.423,1,0.274,0.643,0,0.512,0.668,79.043,4
spotify:track:34tz0eDhGuFErIuW3q4mPX,"On BS","Her Loss","Drake;21 Savage",2022-11-04,261543,70,true,,2023-10-12T16:30:58Z,"rap","OVO / Republic Records",0.842,0.367,9,-7.273,1,0.643,0.017,0,0.159,0.363,157.996,4
spotify:track:2FRnf9qhLbvw8fu4IBXx78,"Last Christmas","LAST CHRISTMAS","Wham!",1984-11-29,262960,80,false,,2023-10-12T15:32:30Z,"christmas","Epic",0.735,0.478,2,-12.472,1,0.0293,0.189,0.00000248,0.355,0.947,107.682,4
spotify:track:37Nqx7iavZpotJSDXZWbJ3,"Girls Want Girls (with Lil Baby)","Certified Lover Boy","Drake;Lil Baby",2021-09-03,221979,76,true,,2023-10-06T21:16:11Z,"rap","OVO",0.767,0.438,7,-8.726,0,0.29,0.181,0,0.142,0.381,86.975,4
spotify:track:3ocupZmiN2ZqQjTVntVtLv,"homies","homies","Saint Harison;Tiana Major9",2023-02-08,225068,55,false,,2023-10-02T12:05:03Z,"uk r&b,alternative r&b","Tell Your Friends",0.646,0.347,5,-5.168,1,0.0327,0.784,0,0.116,0.422,91.578,3
